British English,American English
A,
accelerator,gas pedal
"aerial (TV, radio)",antenna
Alsatian,German shepherd
anorak,"jacket, parka"
at the weekend ,on the weekend 
aubergine,eggplant
B,
bank holiday,"national holiday, federal holiday"
"barrister, solicitor ","lawyer, attorney"
to bath,to bathe
beetroot,beet
bill,check
"bin, dustbin ",garbage can/trash can 
biro,ball-point pen
biscuit,cookie
bonnet,hood
boot,trunk
braces,suspenders
(round) brackets,parentheses
C,
candy floss,cotton candy
car park,parking lot
caretaker,janitor
chemist's shop,"drugstore, pharmacy"
chips,French fries
clothes peg,clothespin
cooker,stove
(bathing) costume,swimsuit
cot (Baby),crib
cotton wool ,cotton ball 
courgette,zucchini
crisps,potato chips
curriculum vitae (CV) ,r‚sum‚
,
D,
dinner jacket,"tux, tuxedo"
directory enquiries,directory assistance
double cream,heavy cream
draught,draft
draughts,checkers
drawing pin,thumb tack
dressing gown,(bath) robe
drink driving,drunk driving
driving licence,driver's license
dummy,pacifier
E,
expiry date,expiration date
F,
fancy dress,costumes
Father Christmas,Santa Claus
fire brigade,fire department
first floor,second floor
fish-fingers,fish-sticks
flannel,wash cloth
flat,apartment
,
football,soccer
fortnight,two weeks
fringe,bangs
full stop ,period
G,
garden,yard
gear lever,gear shift
Gents,Men's Room
goods train,freight train
ground floor,"ground floor, first floor"
first floor,second floor
H,
"headmaster, headteacher",principal
to hire,to rent
hire purchase,installment plan
hockey,field hockey
holiday,vacation
hoover,vacuum cleaner
I,
icing sugar,powdered sugar
indicator,"blinker, turn signal"
"inverted commas, quotation marks",quotation marks
J,
jacket potato,baked potato
Joe Bloggs,John Doe
jumble sale,yard sale
jumper,sweater
K,
L,
ladybird,ladybug
to lay the table,to set the table
letter box,mail box
lift,elevator
lorry,truck
lost property,lost and found
M,
mackintosh,raincoat
managing director,CEO (chief executive officer)
mashed potato,mashed potatoes
match,game
maths,math
mobile (phone),cellphone 
motorbike,motorcycle
motorway,"freeway, highway, expressway, interstate"
mum,mom
N,
nappy,diaper
national insurance number,social security number
note,bill
notice board,bulletin board
number plate,license plate
P,
a pack of cards,a deck of cards
a packet of cigarettes,a pack of cigarettes
pants,underpants
paraffin,kerosene/kerosine
pedestrian crossing,crosswalk
pepper,bell pepper
petrol,gas
phone box,phone booth
polo neck,turtle neck
post,mail
post code,zip code
postman,mailman
"pram, pushchair","baby carriage, baby buggy, stoller "
prawn,shrimp
primary school,elementary school
,grade school
Q,
to queue,to line up
quid,buck
R,
to ring,to call
rucksack,backpack
rubber,eraser
S,
shop assistant,sales clerk
single ticket,one-way ticket
spanner,wrench
public school,private school
sultana,raisin
T,
"toilet, loo","bathroom, rest room"
torch,flashlight
trainers,sneakers
trolley,cart
U,
"underground, tube",subway
V,
vest,undershirt
W,
waistcoat,vest
wardrobe,closet
wing,fender
Y,
Z,
zebra crossing,crosswalk
zip,zipper
